x1,x2,x3,y_real,y_pred_linear,y_pred_nonlinear
1.2000,-0.8000,0.0000,21.7550,27.2776,21.5056
1.2000,0.0000,-0.8000,7.1760,10.1070,6.3243
1.2000,-0.8000,1.0000,43.0450,42.3113,44.2485
0.0000,1.2000,-0.8000,2.8750,-0.5938,2.4204
7.9000,1.0000,0.0000,26.5030,32.3719,26.5642
0.4000,0.0000,2.7000,68.5680,60.7347,68.1167
0.0000,0.4000,2.7000,61.3010,57.1677,61.9074
-1.3000,3.2300,3.0000,23.1830,40.2479,23.2261
0.4000,2.7000,0.0000,2.8200,2.7837,2.3783
0.4000,2.7000,2.0000,17.6540,32.8510,17.1849
-1.3000,0.0000,3.2300,72.5120,64.4734,71.3177
0.0000,-1.3000,3.2300,88.1840,76.0660,82.2528
7.9000,1.0000,-2.0000,4.6530,2.3045,3.9431
1.8000,0.0000,1.6000,49.0000,47.6804,50.2690
0.0000,-2.0000,2.0000,76.8520,62.0753,74.5645
-0.5000,0.6000,0.0000,7.8710,14.0470,7.0177
0.0000,1.8000,1.6000,18.5430,31.6292,18.1265
-2.0000,2.0000,0.0000,2.6600,1.3140,2.2477
-0.5000,0.6000,2.5000,51.0000,51.6312,52.3147
7.9000,0.0000,1.0000,64.1070,53.8352,64.1879
-1.3000,3.2300,0.0000,1.4800,-4.8531,1.3032
0.0000,7.9000,1.0000,0.3200,-16.6119,0.4905
-2.0000,0.0000,2.0000,40.1310,44.2406,41.3485
-2.0000,2.0000,-1.0000,0.9950,-13.7197,0.9419
0.0000,-0.5000,0.6000,24.9740,31.3837,25.0330
1.8000,1.6000,1.3000,21.4170,32.8829,21.1951
-0.5000,0.0000,0.6000,18.2430,26.9250,17.7671
1.8000,1.6000,0.0000,6.9140,13.3391,6.0841
