Optimizador;Error promedio MSE (50000 epochs)
descgradient;1.3200198941752839
descgradient;1.320019337254997
descgradient;1.320018780335531
descgradient;1.3200182234169462
descgradient;1.3200176664993695
descgradient;1.3200171095827105
descgradient;1.3200165526668164
descgradient;1.3200159957518331
descgradient;1.320015438837803
descgradient;1.32001488192468
descgradient;1.3200143250123786
descgradient;1.3200137681010748
descgradient;1.320013211190655
descgradient;1.3200126542811403
descgradient;1.320012097372519
descgradient;1.3200115404648143
descgradient;1.3200109835581166
descgradient;1.3200104266522914
descgradient;1.320009869747309
descgradient;1.3200093128431498
descgradient;1.3200087559398894
descgradient;1.3200081990374488
descgradient;1.3200076421359472
descgradient;1.3200070852354173
descgradient;1.3200065283357454
descgradient;1.320005971437036
descgradient;1.3200054145393894
descgradient;1.3200048576424614
descgradient;1.3200043007463407
descgradient;1.3200037438511947
descgradient;1.3200031869570221
descgradient;1.3200026300636682
descgradient;1.320002073171198
descgradient;1.3200015162795897
descgradient;1.320000959388942
descgradient;1.3200004024991252
descgradient;1.319999845610175
descgradient;1.3199992887220824
descgradient;1.3199987318349373
descgradient;1.3199981749487206
descgradient;1.3199976180635173
descgradient;1.3199970611791831
descgradient;1.3199965042957136
descgradient;1.3199959474130525
descgradient;1.3199953905312882
descgradient;1.3199948336504412
descgradient;1.3199942767703634
descgradient;1.3199937198913765
descgradient;1.3199931630131951
descgradient;1.3199926061358562
descgradient;1.3199920492595405
descgradient;1.319991492384254
descgradient;1.3199909355098534
descgradient;1.3199903786363543
descgradient;1.3199898217636514
descgradient;1.319989264891858
descgradient;1.3199887080209818
descgradient;1.319988151151087
descgradient;1.319987594282107
descgradient;1.319987037413937
descgradient;1.3199864805466195
descgradient;1.3199859236800517
descgradient;1.3199853668143715
descgradient;1.3199848099497107
descgradient;1.3199842530860373
descgradient;1.3199836962233227
descgradient;1.3199831393615704
descgradient;1.3199825825003721
descgradient;1.319982025640183
descgradient;1.3199814687809819
descgradient;1.3199809119226367
descgradient;1.3199803550650981
descgradient;1.3199797982085761
descgradient;1.3199792413529996
descgradient;1.319978684498169
descgradient;1.31997812764438
descgradient;1.3199775707915642
descgradient;1.3199770139394322
descgradient;1.3199764570882244
descgradient;1.3199759002380624
descgradient;1.319975343388687
descgradient;1.3199747865401947
descgradient;1.3199742296925159
descgradient;1.3199736728458558
descgradient;1.3199731160000607
descgradient;1.3199725591550875
descgradient;1.3199720023111225
descgradient;1.3199714454679974
descgradient;1.319970888625786
descgradient;1.319970331784501
descgradient;1.3199697749440675
descgradient;1.3199692181045581
descgradient;1.3199686612659558
descgradient;1.3199681044283036
descgradient;1.319967547591567
descgradient;1.3199669907556337
descgradient;1.3199664339206456
descgradient;1.319965877086442
descgradient;1.3199653202532033
descgradient;1.319964763420976
descgradient;1.319964206589442
descgradient;1.3199636497589387
descgradient;1.319963092929397
descgradient;1.3199625361008887
descgradient;1.319961979273326
descgradient;1.3199614224464173
descgradient;1.3199608656204824
descgradient;1.3199603087953764
descgradient;1.3199597519711832
descgradient;1.319959195147939
descgradient;1.3199586383256159
descgradient;1.319958081503995
descgradient;1.3199575246831632
descgradient;1.31995696786332
descgradient;1.3199564110445678
